title,publication,canonical_publication,date,language,category,original_url,source_row,status
Tiles - Windows dressing,Musicboom.it,MusicBoom,2004-06-12,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040612033844,147,master-list; not in Squarespace portfolio
Tintozenna - Tintozenna,Musicboom.it,MusicBoom,2004-09-30,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040922062533,148,master-list; not in Squarespace portfolio
Tortoise - It's all around you,Musicboom.it,MusicBoom,2004-04-22,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040420062702,149,master-list; not in Squarespace portfolio
Type O Negative - Life is killing me,Musicboom.it,MusicBoom,2004-01-19,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040117210252,150,master-list; not in Squarespace portfolio
Unearth - III: In The Eyes Of Fire,Kronic.it,Kronic,2006-10-17,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=14009,151,master-list; not in Squarespace portfolio
Unnamed - The Market Of Stupids,Dedication.it,Dedication.it,2004-07-07,unknown,Music reviews,http://www.dedication.it/trlist-unnamed.htm,152,master-list; not in Squarespace portfolio
Uriah Heep - The ultimate anthology,Musicboom.it,MusicBoom,2005-04-04,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20050403193025,153,master-list; not in Squarespace portfolio
Vaux - There Must Be Some Way to Stop Them,Kronic.it,Kronic,2004-03-02,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9609,154,master-list; not in Squarespace portfolio
Verdena - Il suicidio dei Samurai,Kronic.it,Kronic,2004-10-30,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9449,155,master-list; not in Squarespace portfolio
Warrior Soul - Various,Kronic.it,Kronic,2006-07-31,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13712,156,master-list; not in Squarespace portfolio
Wolfmother - Wolfmother,Kronic.it,Kronic,2006-04-03,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=13138,157,master-list; not in Squarespace portfolio
Zero 7 - When it falls,Kronic.it,Kronic,2004-04-07,unknown,Music reviews,http://www.kronic.it/artGet.aspx?aID=2&sID=9831,158,master-list; not in Squarespace portfolio
Zero 7 - When it falls,Nerds Attack !,Nerds Attack!,2004-04-05,unknown,Music reviews,http://www.musicaroma.it/nerds/articolone.asp?ID=1229,159,master-list; not in Squarespace portfolio
Zero 7 - When it falls,Musicboom.it,MusicBoom,2004-03-15,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040314191406,160,master-list; not in Squarespace portfolio
"Zonaloud - ""Quello Che Vedi",Dedication.it,Dedication.it,2004-06-02,unknown,Music reviews,http://www.dedication.it/trlist-zonaloud.htm,161,master-list; not in Squarespace portfolio
Zu/Spaceways - Radiale,Musicboom.it,MusicBoom,2004-09-11,unknown,Music reviews,http://www.musicboom.it/mostra_recensioni.php?Unico=20040911060225,162,master-list; not in Squarespace portfolio
"Cathedral @ Underworld, London (UK)",Musicboom,MusicBoom,2004-08-07,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20040823053252,3,master-list; not in Squarespace portfolio
"Fony @ Underworld, London (UK)",Musicboom,MusicBoom,2004-04-25,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20040430030109,4,master-list; not in Squarespace portfolio
"Tortoise @ Mean Fiddler, London (UK)",Musicboom,MusicBoom,2004-07-01,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20040705021516,5,master-list; not in Squarespace portfolio
"Entombed @ Garage, London (UK)",Musicboom,MusicBoom,2004-02-08,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20040218193645,6,master-list; not in Squarespace portfolio
"A.M., The @ Barfly, London (UK)",Musicboom,MusicBoom,2003-12-01,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20040107230142,7,master-list; not in Squarespace portfolio
"The Mountaineers + The Killers + The Vanity Set @ Barfky, London (UK)",Musicboom,MusicBoom,2003-10-01,unknown,Live reports,http://www.musicboom.it/mostra_art.php?categoria=concerti&Unico=20031104004224,8,master-list; not in Squarespace portfolio
"Paradise Lost + Deathstars @ Astoria, London (UK)",Kronic,Kronic,2003-11-18,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=200,9,master-list; not in Squarespace portfolio
"Will Haven + Crowbar + Kingsize Blues + Seventh Cross @ Zodiac, Oxford (UK)",Kronic,Kronic,2006-03-30,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=413,10,master-list; not in Squarespace portfolio
"Vaux + We @ Underworld, London (UK)",Kronic,Kronic,2004-03-08,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=242,11,master-list; not in Squarespace portfolio
"Turbonegro @ Mean Fiddler, London (UK)",Kronic,Kronic,2003-12-08,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=213,12,master-list; not in Squarespace portfolio
"A.M., The @ Barfly, London (UK)",Kronic,Kronic,2003-12-01,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=212,13,master-list; not in Squarespace portfolio
"Sophia @ Carling Islington, London (UK)",Kronic,Kronic,2004-03-30,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=259,14,master-list; not in Squarespace portfolio
"Queens Of The Stone Age @  Brixton Academy, London (UK)",Kronic,Kronic,2003-06-22,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=208,15,master-list; not in Squarespace portfolio
"Napalm Death @ Underworld, London (UK)",Kronic,Kronic,2005-01-24,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=337,16,master-list; not in Squarespace portfolio
"Live 8 @ Hyde Park, London (UK)",Kronic,Kronic,2005-07-02,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=379,17,master-list; not in Squarespace portfolio
"Life Of Agony,+ Bloodsimple @ Mean Fiddler, London (UK)",Kronic,Kronic,2005-05-23,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=374,18,master-list; not in Squarespace portfolio
"In Flames + Devildriver + Caliban @ Astoria, London (UK)",Kronic,Kronic,2004-04-25,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=269,19,master-list; not in Squarespace portfolio
"Himsa + Last Hour Of Torment @ Barfly, London (UK)",Kronic,Kronic,2003-08-09,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=163,20,master-list; not in Squarespace portfolio
"Hanoi Rocks @ Shepherd's Bush Empire, London (UK)",Kronic,Kronic,2003-09-30,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=175,21,master-list; not in Squarespace portfolio
"Grandaddy @ Astoria, London (UK)",Kronic,Kronic,2003-06-18,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=211,22,master-list; not in Squarespace portfolio
"Gasolineros @ Water Rats, London (UK)",Kronic,Kronic,2004-02-11,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=231,23,master-list; not in Squarespace portfolio
"NME Awards @ Brixton Academy, London (UK)",Kronic,Kronic,2004-02-07,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=227,24,master-list; not in Squarespace portfolio
"Doomriders + November Coming Fire + Lords + Coliseum @ Underworld, London (UK)",Kronic,Kronic,2006-03-05,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=410,25,master-list; not in Squarespace portfolio
"Deftones + A Perfect Circle @ Wembley Arena, London (UK)",Kronic,Kronic,2003-09-19,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=171,26,master-list; not in Squarespace portfolio
"Cradle Of Filth @ Forum, London (UK)",Kronic,Kronic,2005-04-16,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=360,27,master-list; not in Squarespace portfolio
"Blonde Redhead @ Mean Fiddler, London (UK)",Kronic,Kronic,2004-04-20,unknown,Live reports,http://www.kronic.it/artGet.aspx?aID=4&sID=279,28,master-list; not in Squarespace portfolio
"Jaga Jazzist @ Garage, London (UK)",Dedication.it,Dedication.it,2003-08-01,unknown,Live reports,http://www.dedication.it/jagajazzist.htm,29,master-list; not in Squarespace portfolio
"Himsa + Last Hour Of Torment @ Barfly, London (UK)",Dedication.it,Dedication.it,2003-08-09,unknown,Live reports,http://www.dedication.it/himsa2.htm,30,master-list; not in Squarespace portfolio
"Poison The Well + Thrice + Cult Of Luna @ Garage, London (UK)",Dedication.it,Dedication.it,2003-08-27,unknown,Live reports,http://www.dedication.it/ptw+3+col.htm,31,master-list; not in Squarespace portfolio
"NME Awards @ Brixton Academy, London (UK)",Dedication.it,Dedication.it,2004-02-07,unknown,Live reports,http://www.dedication.it/ffaf_london.htm,32,master-list; not in Squarespace portfolio
"Life Of Agony + Breed77 @ Astoria, London (UK)",Dedication.it,Dedication.it,2003-11-09,unknown,Live reports,http://www.dedication.it/lifeofagony.htm,33,master-list; not in Squarespace portfolio
"Tomahawk + Melvins + Kadaa + Guapo @ Forum, London (UK)",Dedication.it,Dedication.it,2003-07-18,unknown,Live reports,http://www.dedication.it/tomahawk.htm,34,master-list; not in Squarespace portfolio
"Jaga Jazzist @ Garage, London (UK)",Nerds Attack !,Nerds Attack!,2003-08-01,unknown,Live reports,http://www.musicaroma.it/nerds/articolone.asp?ID=561,35,master-list; not in Squarespace portfolio
"Jaga Jazzist @ Garage, London (UK)",RockOn.it,RockOn.it,2003-08-29,unknown,Live reports,http://www.rockon.it/modules.php?name=News&file=article&sid=342,36,master-list; not in Squarespace portfolio
"Parkinsons, the + Divine Brown + Girls On Top @ Metro Club, London (UK)",Nerds Attack !,Nerds Attack!,2004-02-28,unknown,Live reports,http://www.musicaroma.it/nerds/articolone.asp?ID=1146,37,master-list; not in Squarespace portfolio
"Us Maple @ La Palma, Roma (Italy)",Nerds Attack !,Nerds Attack!,2002-10-29,unknown,Live reports,http://www.musicaroma.it/nerds/articolone.asp?ID=90,38,master-list; not in Squarespace portfolio
"Tarwater @ La Palma, Roma (Italy)",,,2002-10-27,unknown,Live reports,http://www.musicaroma.it/nerds/articolone.asp?ID=99,39,master-list; not in Squarespace portfolio
Paatos,Musicboom.it,MusicBoom,2005-05-12,unknown,Interviews,http://www.musicboom.it/mostra_art.php?categoria=interviste&Unico=20040728222918,3,master-list; not in Squarespace portfolio
Kurt Cobain: in morte di un Cristo pop,Musicboom.it,MusicBoom,2005-01-15,unknown,Specials,http://www.musicboom.it/mostra_art.php?categoria=specials&Unico=20040421063145,3,master-list; not in Squarespace portfolio
